ETLAuditLogID,ETLBatchID,ETLControlID,SourceSystem,PipelineName,PipelineTriggerType,LogType,Source,Sink,DeltaDetect,DeltaDetectType,ETLMinValue,ETLMaxValue,SourceQuery,MaxExpression,RowsInserted,RowsUpdated,RowsMarkedAsDeleted,ETLStartTime,ETLEndTime,RunTimeInSecond,FileSizeInBytes,ThroughputInKbps,ActivityID,ActivityName,TableType,LoadType,LoadStatus,ErrorMsg,IsLoadSuccess,IsStageLoaded
50,660,7,EDWFoundation,pipe_src_adls_sql,PipelineActivity,ADF,"[{""SQLSource"":{""ServerName"":""EDWTest"",""DatabaseName"":""Foundation"",""SchemaName"":""dbo"",""TableName"":""Cycle""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\EDWFoundation"",""FilePath"":""Cycle\\2021\\10\\27\\"",""FileName"":""Cycle_20211027_132637.parquet""}}]","[{""No delta detect mechanism at source"":""""}]",NULL,NULL,27:14.3,"SELECT [Cycle_Cd], [Cycle_Desc], [Load_Ts], [Ses_Load_ID], [Delta_Val] FROM dbo.[Cycle] s",0,44,0,0,26:37.8,29:03.1,146,3081,0.37,2,Audit Log - Completed,Source,Full,Completed,NULL,1,1
51,660,2,EDWFoundation,pipe_src_adls_sql,PipelineActivity,ADF,"[{""SQLSource"":{""ServerName"":""EDWTest"",""DatabaseName"":""Foundation"",""SchemaName"":""dbo"",""TableName"":""Cust_Agmt""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\EDWFoundation"",""FilePath"":""Cust_Agmt\\2021\\10\\27\\"",""FileName"":""Cust_Agmt_20211027_132637.parquet""}}]","[{""CurrentVersion"":""CHANGE_TRACKING_CURRENT_VERSION()""}]",ChangeTracking,0,17,"SELECT ct.[Cust_Agmt_DW_ID], s.[Cust_Agmt_Src_ID], s.[Cust_Acct_DW_ID], s.[Installn_DW_ID], s.[Acct_Detrmn_Type_Cd], s.[Agmt_Class_Type_Cd], s.[Bill_Class_Type_Cd], s.[Rate_Cat_Cd], s.[Industry_Classfn_Type_Cd], s.[Cust_Agmt_From_Dt], s.[Cust_Agmt_Thru_Dt], s.[Final_Invoice_Ind], s.[Cust_Agmt_Lgcy_ID], s.[Cust_Agmt_Lgcy_From_Dt], s.[Src_Del_Ind], s.[Load_Ts], s.[Ses_Load_ID], s.[Delta_Val], s.[Joint_Invoicing_Type_Cd], s.[Budget_Bill_Ind], s.[Cust_of_Rec_Occupied_Ind] ,CASE WHEN ct.SYS_CHANGE_OPERATION = 'D' THEN CAST(1 AS BIT) ELSE CAST(0 AS BIT) END AS [IsDeleted] FROM CHANGETABLE(CHANGES [dbo].[Cust_Agmt], 0) ct  LEFT JOIN [dbo].[Cust_Agmt] s ON s.[Cust_Agmt_DW_ID]=ct.[Cust_Agmt_DW_ID] WHERE ct.SYS_CHANGE_VERSION <= 17",CHANGE_TRACKING_CURRENT_VERSION(),33,0,0,26:37.8,29:07.1,150,6083,0.22,2,Audit Log - Completed,Source,Incremental,Completed,NULL,1,1
52,660,11,EDWFoundation,pipe_src_adls_sql,PipelineActivity,ADF,"[{""SQLSource"":{""ServerName"":""EDWTest"",""DatabaseName"":""Foundation"",""SchemaName"":""dbo"",""TableName"":""Device_Loc""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\EDWFoundation"",""FilePath"":""Device_Loc\\2021\\10\\27\\"",""FileName"":""Device_Loc_20211027_132637.parquet""}}]","[{""QueryPredicate"":""Load_Ts"",""QueryPredicateType"":""Date""}]",Predicate,1/1/1900 0:00,27:14.4,"SELECT [Device_Loc_DW_ID], [Device_Loc_Src_ID], [Premise_DW_ID], [Volt_Type_Cd], [Discon_Type_Cd], [Trfmr_1_Size_Type_Cd], [Trfmr_2_Size_Type_Cd], [Trfmr_3_Size_Type_Cd], [Mtr_Loc_Cd], [Mtr_Loc_Detail_Txt], [Mtr_Loc_Dir_Txt], [Underground_Svc_Ind], [Phs_Nbr], [Full_Scale_Qty], [Tot_HP_Rtng_Qty], [Turns_Per_Leg_Count], [Site_Idfcn_Nbr], [Site_Verifn_Dt], [Verifn_Note_Txt], [Src_Del_Ind], [Load_Ts], [Ses_Load_ID], [Delta_Val], [GISO_Nbr], [Team_Name], [Lat_Val], [Long_Val], [Temp_Permit_Nbr], [Temp_Permit_Rcvd_Dt], [Perm_Permit_Nbr], [Perm_Permit_Rcvd_Dt], [Line_Extn_WO_Nbr], [Line_Extn_Seq], [Subd_Lot_Nbr], [Subd_Block_Nbr], [Subd_Name], [Seal_Nbr], [Estd_Trench_Ftg_Nbr], [Wire_Vintage_Yr], [Mtr_Base_Type_Cd], [Mtr_Dir_Type_Cd] FROM dbo.Device_Loc  WHERE Load_Ts > '1900-01-01 00:00:00' AND Load_Ts <= '2021-10-27 13:27:14.367'",MAX(Load_Ts),643192,0,0,26:37.8,29:07.7,150,53616833,4249.4,2,Audit Log - Completed,Source,Incremental,Completed,NULL,1,1
53,660,12,EDWFoundation,pipe_src_adls_sql,PipelineActivity,ADF,"[{""SQLSource"":{""ServerName"":""EDWTest"",""DatabaseName"":""Foundation"",""SchemaName"":""dbo"",""TableName"":""Device_Loc_Equip""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\EDWFoundation"",""FilePath"":""Device_Loc_Equip\\2021\\10\\27\\"",""FileName"":""Device_Loc_Equip_20211027_132637.parquet""}}]","[{""CurrentVersion"":""CHANGE_TRACKING_CURRENT_VERSION()""}]",ChangeTracking,0,17,"SELECT ct.[Device_Loc_Equip_DW_ID], s.[Equip_DW_ID], s.[Device_Loc_DW_ID], s.[Device_Loc_Equip_From_Dt], s.[Device_Loc_Equip_Thru_Dt], s.[Installn_DW_ID], s.[Src_Del_Ind], s.[Load_Ts], s.[Ses_Load_ID], s.[Delta_Val], s.[Register_Grp_Type_Cd] ,CASE WHEN ct.SYS_CHANGE_OPERATION = 'D' THEN CAST(1 AS BIT) ELSE CAST(0 AS BIT) END AS [IsDeleted] FROM CHANGETABLE(CHANGES [dbo].[Device_Loc_Equip], 0) ct  LEFT JOIN [dbo].[Device_Loc_Equip] s ON s.[Device_Loc_Equip_DW_ID]=ct.[Device_Loc_Equip_DW_ID] WHERE ct.SYS_CHANGE_VERSION <= 17",CHANGE_TRACKING_CURRENT_VERSION(),8,0,0,26:37.8,29:05.1,148,2514,0.08,2,Audit Log - Completed,Source,Incremental,Completed,NULL,1,1
54,660,14,EDWFoundation,pipe_src_adls_sql,PipelineActivity,ADF,"[{""SQLSource"":{""ServerName"":""EDWTest"",""DatabaseName"":""Foundation"",""SchemaName"":""dbo"",""TableName"":""Bill_Class_Type""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\EDWFoundation"",""FilePath"":""Bill_Class_Type\\2021\\10\\27\\"",""FileName"":""Bill_Class_Type_20211027_132637.parquet""}}]","[{""No delta detect mechanism at source"":""""}]",NULL,NULL,27:30.7,"SELECT [Bill_Class_Type_Cd], [Bill_Class_Type_Desc], [Load_Ts], [Ses_Load_ID], [Delta_Val] FROM dbo.[Bill_Class_Type] s",0,17,0,0,26:37.8,29:07.2,150,2042,0.11,2,Audit Log - Completed,Source,Full,Completed,NULL,1,1
55,660,16,EDWFoundation,pipe_src_adls_sql,PipelineActivity,ADF,"[{""SQLSource"":{""ServerName"":""EDWTest"",""DatabaseName"":""Foundation"",""SchemaName"":""dbo"",""TableName"":""Manufacturer""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\EDWFoundation"",""FilePath"":""Manufacturer\\2021\\10\\27\\"",""FileName"":""Manufacturer_20211027_132637.parquet""}}]","[{""No delta detect mechanism at source"":""""}]",NULL,NULL,27:30.7,"SELECT [Mfr_Cd], [Mfr_Name], [Load_Ts], [Ses_Load_ID], [Delta_Val] FROM dbo.[Manufacturer] s",0,51,0,0,26:37.8,29:07.6,150,4474,0.35,2,Audit Log - Completed,Source,Full,Completed,NULL,1,1
56,660,10,EDWFoundation,pipe_src_adls_sql,PipelineActivity,ADF,"[{""SQLSource"":{""ServerName"":""EDWTest"",""DatabaseName"":""Foundation"",""SchemaName"":""dbo"",""TableName"":""Equip_Status""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\EDWFoundation"",""FilePath"":""Equip_Status\\2021\\10\\27\\"",""FileName"":""Equip_Status_20211027_132637.parquet""}}]","[{""No delta detect mechanism at source"":""""}]",NULL,NULL,27:30.7,"SELECT [Equip_Status_Cd], [Equip_Status_Desc], [Load_Ts], [Ses_Load_ID], [Delta_Val] FROM dbo.[Equip_Status] s",0,2,0,0,26:37.8,29:04.1,147,1115,0.02,2,Audit Log - Completed,Source,Full,Completed,NULL,1,1
57,660,18,EDWFoundation,pipe_src_adls_sql,PipelineActivity,ADF,"[{""SQLSource"":{""ServerName"":""EDWTest"",""DatabaseName"":""Foundation"",""SchemaName"":""dbo"",""TableName"":""Protocol_Type""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\EDWFoundation"",""FilePath"":""Protocol_Type\\2021\\10\\27\\"",""FileName"":""Protocol_Type_20211027_132637.parquet""}}]","[{""No delta detect mechanism at source"":""""}]",NULL,NULL,27:30.7,"SELECT [Protocol_Type_Cd], [Protocol_Type_Desc], [Load_Ts], [Ses_Load_ID], [Delta_Val] FROM dbo.[Protocol_Type] s",0,7,0,0,26:37.8,29:07.3,150,1518,0.05,2,Audit Log - Completed,Source,Full,Completed,NULL,1,1
58,660,9,EDWFoundation,pipe_src_adls_sql,PipelineActivity,ADF,"[{""SQLSource"":{""ServerName"":""EDWTest"",""DatabaseName"":""Foundation"",""SchemaName"":""dbo"",""TableName"":""Modfn_Type""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\EDWFoundation"",""FilePath"":""Modfn_Type\\2021\\10\\27\\"",""FileName"":""Modfn_Type_20211027_132637.parquet""}}]","[{""No delta detect mechanism at source"":""""}]",NULL,NULL,27:30.7,"SELECT [Modfn_Type_Cd], [Modfn_Type_Desc], [Load_Ts], [Ses_Load_ID], [Delta_Val] FROM dbo.[Modfn_Type] s",0,2,0,0,26:37.8,29:06.2,149,1116,0.01,2,Audit Log - Completed,Source,Full,Completed,NULL,1,1
59,660,1,EDWFoundation,pipe_src_adls_sql,PipelineActivity,ADF,"[{""SQLSource"":{""ServerName"":""EDWTest"",""DatabaseName"":""Foundation"",""SchemaName"":""dbo"",""TableName"":""Mtr_Loc""}}]","[{""FileSink"":{""FileRoot"":""dls\\Raw\\EDWFoundation"",""FilePath"":""Mtr_Loc\\2021\\10\\27\\"",""FileName"":""Mtr_Loc_20211027_132637.parquet""}}]","[{""No delta detect mechanism at source"":""""}]",NULL,NULL,27:30.7,"SELECT [Mtr_Loc_Cd], [Mtr_Loc_Desc], [Load_Ts], [Ses_Load_ID], [Delta_Val] FROM dbo.[Mtr_Loc] s",0,34,0,0,26:37.8,29:06.1,149,2740,0.2,2,Audit Log - Completed,Source,Full,Completed,NULL,1,1
