ETLControlID,SourceSystem,Source,Sink,ColumnMetadata,DeltaDetect,DeltaDetectType,MinExpression,MaxExpression,SinkLoadProcedureName,SinkPreLoadScript,SinkWriteBatchSize,DIU,TriggerType,SourceQuery,LoadType,TableType,SourceTypeID,IsActive,Note,UpdatedDate,IsDeletionRequired,SourceTableCompositeKey,SheetNames,ETLSourceTableID,ETLRunGroup
10963,SODA,"[{""SQLSource"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SchemaName"":""SODA"",""TableName"":""USER""}}]","[{""SQLSink"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SinkSchema"":""SODA"",""SinkTable"":""USER""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,SODA.usp_Load_USER,NULL,20000,2,Daily,NULL,Full,Stage2,1,1,NULL,10:04.4,NULL,NULL,NULL,NULL,NULL
10964,ARCFM,"[{""SQLSource"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SchemaName"":""ARCFM"",""TableName"":""WORKORDER_STATUS_HIST""}}]","[{""SQLSink"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SinkSchema"":""ARCFM"",""SinkTable"":""WORKORDER_STATUS_HIST""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,ARCFM.usp_Load_WORKORDER_STATUS_HIST,NULL,20000,2,Daily,NULL,Full,Stage2,1,1,NULL,23:54.0,NULL,NULL,NULL,NULL,NULL
10966,Multi,"[{""SQLSource"":{""ServerName"":""syn-ipcdev-dataservices-dev.sql.azuresynapse.net"",""DatabaseName"":""sqldwdataservices"",""SchemaName"":""Stage"",""TableName"":""Stage.vwSrcDimOutageCause""}}]","[{""SQLSink"":{""ServerName"":""syn-ipcdev-dataservices-dev.sql.azuresynapse.net"",""DatabaseName"":""sqldwdataservices"",""SinkSchema"":""OMS"",""SinkTable"":""DimOutageCause""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,OMS.usp_load_DimOSIOutageCause,NULL,20000,2,Daily,NULL,Full,Dimension,1,1,Transformaing and Loading data from staging tables to Dimesnion tables,36:10.1,NULL,NULL,NULL,NULL,NULL
10976,ARCFM,"[{""SQLSource"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SchemaName"":""ARCFM"",""TableName"":""WMP_BOUNDARIES""}}]","[{""SQLSink"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SinkSchema"":""ARCFM"",""SinkTable"":""WMP_BOUNDARIES""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,ARCFM.usp_Load_WMP_BOUNDARIES,NULL,20000,2,Daily,NULL,Full,Stage2,1,1,NULL,24:08.3,NULL,NULL,NULL,NULL,NULL
10980,ARCFM,"[{""SQLSource"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SchemaName"":""ARCFM"",""TableName"":""CUST_TRANSFORMER_DATA_HISTORY""}}]","[{""SQLSink"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SinkSchema"":""ARCFM"",""SinkTable"":""CUST_TRANSFORMER_DATA_HISTORY""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,ARCFM.usp_Load_CUST_TRANSFORMER_DATA_HISTORY,NULL,20000,2,Daily,NULL,Full,Stage2,1,1,NULL,24:09.7,NULL,NULL,NULL,NULL,NULL
10985,PBI,"[{""FileSource"":{""FileRoot"":""dls\\Raw\\PBI"",""FilePath"":""Connections\\YYYY\\MM\\DD\\"",""FileName"":""Connections_*.parquet""}}]","[{""SQLSink"":{""ServerName"":""syn-ipcdev-dataservices-dev.sql.azuresynapse.net"",""DatabaseName"":""sqldwdataservices"",""SinkSchema"":""PBI"",""SinkTable"":""Connections""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,PBI.usp_Load_Connections,NULL,20000,2,Daily,NULL,Full,Stage,3,1,Loading data from azure data lake storage to staging tables,36:14.9,NULL,NULL,NULL,10984,NULL
10972,ARCFM,"[{""SQLSource"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SchemaName"":""ARCFM"",""TableName"":""D_DEFECTINFO""}}]","[{""SQLSink"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SinkSchema"":""ARCFM"",""SinkTable"":""D_DEFECTINFO""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,ARCFM.usp_Load_D_DEFECTINFO,NULL,20000,2,Daily,NULL,Full,Stage2,1,1,NULL,24:05.8,NULL,NULL,NULL,NULL,NULL
10973,ARCFM,"[{""SQLSource"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SchemaName"":""ARCFM"",""TableName"":""T_ELECTRICLINE""}}]","[{""SQLSink"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SinkSchema"":""ARCFM"",""SinkTable"":""T_ELECTRICLINE""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,ARCFM.usp_Load_T_ELECTRICLINE,NULL,20000,2,Daily,NULL,Full,Stage2,1,1,NULL,24:06.2,NULL,NULL,NULL,NULL,NULL
10974,ARCFM,"[{""SQLSource"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SchemaName"":""ARCFM"",""TableName"":""T_DEFECTACTIONS""}}]","[{""SQLSink"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SinkSchema"":""ARCFM"",""SinkTable"":""T_DEFECTACTIONS""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,ARCFM.usp_Load_T_DEFECTACTIONS,NULL,20000,2,Daily,NULL,Full,Stage2,1,1,NULL,24:07.3,NULL,NULL,NULL,NULL,NULL
10975,ARCFM,"[{""SQLSource"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SchemaName"":""ARCFM"",""TableName"":""T_INSPECTIONS""}}]","[{""SQLSink"":{""ServerName"":""sql-ipcdev-dataservices-dev.database.windows.net"",""DatabaseName"":""sqldbdataservicesgis"",""SinkSchema"":""ARCFM"",""SinkTable"":""T_INSPECTIONS""}}]",NULL,"[{""No delta detect mechanism at source"":""""}]",NULL,NULL,0,ARCFM.usp_Load_T_INSPECTIONS,NULL,20000,2,Daily,NULL,Full,Stage2,1,1,NULL,24:08.3,NULL,NULL,NULL,NULL,NULL
